,precision,recall,f1-score,support
Negative,0.5789473684210527,0.553072625698324,0.5657142857142857,179.0
Neutral,0.7657266811279827,0.7591397849462366,0.7624190064794817,465.0
Positive,0.7736625514403292,0.8138528138528138,0.7932489451476793,231.0
accuracy,0.7314285714285714,0.7314285714285714,0.7314285714285714,0.7314285714285714
macro avg,0.7061122003297883,0.7086884081657915,0.7071274124471488,875.0
weighted avg,0.729612040062396,0.7314285714285714,0.7303179445542057,875.0
