,precision,recall,f1-score,support
Negative,0.5722222222222222,0.5754189944134078,0.5738161559888579,179.0
Neutral,0.7694013303769401,0.7462365591397849,0.75764192139738,465.0
Positive,0.7745901639344263,0.8181818181818182,0.7957894736842105,231.0
accuracy,0.7302857142857143,0.7302857142857143,0.7302857142857143,0.7302857142857143
macro avg,0.7054045721778629,0.7132791239116704,0.7090825170234828,875.0
weighted avg,0.7304339705964656,0.7302857142857143,0.7301073757632456,875.0
