,precision,recall,f1-score,support
Negative,0.43769968051118213,0.7653631284916201,0.556910569105691,179.0
Neutral,0.8211678832116789,0.4838709677419355,0.6089309878213802,465.0
Positive,0.7048611111111112,0.8787878787878788,0.7822736030828517,231.0
accuracy,0.6457142857142857,0.6457142857142857,0.6457142857142857,0.6457142857142857
macro avg,0.6545762249446574,0.7093406583404782,0.6493717200033077,875.0
weighted avg,0.7120162573389703,0.6457142857142857,0.6440515468788562,875.0
