,precision,recall,f1-score,support
Negative,0.723404255319149,0.37988826815642457,0.4981684981684982,179.0
Neutral,0.7514231499051234,0.8516129032258064,0.7983870967741935,465.0
Positive,0.7480314960629921,0.8225108225108225,0.7835051546391752,231.0
accuracy,0.7474285714285714,0.7474285714285714,0.7474285714285714,0.7474285714285714
macro avg,0.7409529670957548,0.6846706646310179,0.6933535831939556,875.0
weighted avg,0.7447958879983557,0.7474285714285714,0.7330421164500693,875.0
