,precision,recall,f1-score,support
Negative,0.0,0.0,0.0,179.0
Neutral,0.6503267973856209,0.8559139784946237,0.7390900649953575,465.0
Positive,0.6806083650190115,0.7748917748917749,0.7246963562753036,231.0
accuracy,0.6594285714285715,0.6594285714285715,0.6594285714285715,0.6594285714285715
macro avg,0.4436450541348775,0.5436019177954662,0.48792880709022035,875.0
weighted avg,0.5252828492613777,0.6594285714285715,0.584093415454213,875.0
